,Compound_ID,Molecular_Weight,LogP,H_Bond_Acceptors,H_Bond_Donors,Status
0,Drug_1,357.6188190440988,1.6601632360433634,7,2,Pass
1,Drug_2,473.0999965709477,-0.9863101077721028,0,6,Fail
2,Drug_3,373.6609228780927,6.139710370646347,4,0,Fail
3,Drug_4,251.48770645415675,-0.0450144032925807,2,7,Fail
4,Drug_5,200.2175630781326,3.1467216508048,9,3,Pass
5,Drug_6,746.8478196304516,5.575784515109167,14,6,Fail
6,Drug_7,290.0507816819154,4.8804358386036855,10,7,Fail
7,Drug_8,592.8922301293373,1.024858238887301,4,0,Fail
8,Drug_9,593.5850980296741,1.793966834763553,10,3,Fail
9,Drug_10,615.5852150966093,3.064774150525319,9,6,Fail
10,Drug_11,318.2275089536853,3.548728086216736,7,1,Pass
11,Drug_12,766.4904041779332,0.1939624885201638,1,2,Fail
12,Drug_13,412.4555607153554,2.9678722810000666,7,1,Pass
13,Drug_14,443.3578822030398,0.9530675843141436,12,7,Fail
14,Drug_15,377.23351173519217,1.5595676644339953,8,3,Pass
15,Drug_16,635.6594373031385,0.794604479473004,5,3,Fail
16,Drug_17,516.9907120182135,0.5505115002116314,5,4,Fail
17,Drug_18,261.4741362009266,0.451885768621679,1,5,Pass
18,Drug_19,385.4681203794888,4.797059416519605,9,6,Fail
19,Drug_20,201.6020092603911,4.520217953405313,11,3,Fail
20,Drug_21,671.6062368379758,-0.8320032162855675,11,4,Fail
21,Drug_22,408.5326757282207,0.514448931944326,5,3,Pass
22,Drug_23,367.1145747537922,1.906773609153297,2,1,Pass
23,Drug_24,580.10720395514,1.3171636525729822,4,2,Fail
24,Drug_25,355.27146531091853,3.863185497319333,6,3,Pass
25,Drug_26,498.860878577748,1.3853253423842942,5,3,Pass
26,Drug_27,561.7723903793249,-0.2852604848898066,0,3,Fail
27,Drug_28,390.5046354318897,6.70766400863444,8,5,Fail
28,Drug_29,276.06679339874364,3.774730083385732,6,2,Pass
29,Drug_30,313.3389384672774,1.7681495017666142,10,6,Fail
30,Drug_31,564.3752555149925,-0.9862089291051656,6,4,Fail
31,Drug_32,793.6379421031428,4.224896451247488,6,5,Fail
32,Drug_33,227.0995820655104,2.838159055094425,7,2,Pass
33,Drug_34,717.3402888129232,2.7697684371826607,1,1,Fail
34,Drug_35,360.1567024885952,-0.3614975784510976,9,2,Pass
35,Drug_36,210.69017504628115,1.5835427135195523,8,3,Pass
36,Drug_37,706.4780147651909,0.9159045271946108,2,2,Fail
37,Drug_38,751.3129840661505,1.6396876074933289,14,1,Fail
38,Drug_39,474.5660401586189,3.3660525046647907,11,6,Fail
39,Drug_40,669.3051258131201,-0.2906135339217499,4,2,Fail
40,Drug_41,260.675070688853,2.3861500388397685,12,4,Fail
41,Drug_42,322.9044386896658,-0.2623341428324943,9,3,Pass
42,Drug_43,799.7607619657405,3.506420203633257,10,6,Fail
43,Drug_44,323.48771013216754,5.905924927053735,2,7,Fail
44,Drug_45,702.5571637962119,2.482162745654758,14,5,Fail
45,Drug_46,544.3072643474464,5.461463313020395,3,6,Fail
46,Drug_47,546.2592079859182,1.075464551314722,13,2,Fail
47,Drug_48,726.5951821703819,2.517532930581048,11,5,Fail
48,Drug_49,660.1763589393788,4.229891658448656,13,6,Fail
49,Drug_50,794.2584831365895,0.2296942279754423,8,4,Fail
50,Drug_51,332.02177347564884,2.6783748740325963,13,6,Fail
51,Drug_52,501.4033372456841,2.21479294005299,13,5,Fail
52,Drug_53,393.4014439755583,5.857409544062593,6,0,Fail
53,Drug_54,321.2979679717587,-0.0267263866958131,6,1,Pass
54,Drug_55,667.4190797529809,3.6512800661881135,1,4,Fail
55,Drug_56,218.9035259247407,2.3487592036449723,4,6,Fail
56,Drug_57,716.279389556283,4.028849204383164,10,5,Fail
57,Drug_58,230.3860695290296,-0.6085081450262129,9,0,Pass
58,Drug_59,468.9231539020418,1.7999990995191038,11,0,Fail
59,Drug_60,567.8368730333284,4.745294690383555,0,0,Fail
60,Drug_61,434.43992570211,0.6954257226764966,9,3,Pass
61,Drug_62,572.929241745372,0.7036933122940559,4,4,Fail
62,Drug_63,493.5010026639552,2.888839511298258,9,3,Pass
63,Drug_64,684.2667903820472,5.83068135121339,0,2,Fail
64,Drug_65,553.6435090584291,2.871494371446637,14,6,Fail
65,Drug_66,732.9965733983862,3.804574480228472,8,2,Fail
66,Drug_67,483.1786485359942,5.114301185356852,2,3,Fail
67,Drug_68,789.983020380653,1.4306928362035531,8,0,Fail
68,Drug_69,561.3083290938323,1.2948797068691826,4,1,Fail
69,Drug_70,248.7351990991893,4.006156932742346,6,6,Fail
70,Drug_71,209.3121061333468,3.672038226106153,14,0,Fail
71,Drug_72,380.1460371565394,5.227581213520526,13,5,Fail
72,Drug_73,502.5653248823099,4.457314499457412,5,6,Fail
73,Drug_74,778.1686384462487,1.8068672592812949,14,6,Fail
74,Drug_75,224.64866052267183,1.8027789569694972,0,4,Pass
75,Drug_76,292.08920481492567,3.286331517355759,10,2,Pass
76,Drug_77,670.087470496461,3.110912657708062,11,1,Fail
77,Drug_78,713.8605242573127,5.56726364874072,11,1,Fail
78,Drug_79,608.0507902223774,2.0921306671259643,10,4,Fail
79,Drug_80,371.0177882317408,-0.8933232619708447,14,0,Fail
80,Drug_81,658.2769069672981,4.8003967628223885,12,3,Fail
81,Drug_82,483.61186831929183,5.5250109189005165,11,2,Fail
82,Drug_83,421.5227825742319,4.435289156289082,3,5,Pass
83,Drug_84,303.77067433606726,4.092765153340697,1,6,Fail
