Compound_ID,Molecular_Weight,LogP,H_Bond_Acceptors,H_Bond_Donors,Lipinski_Violations,Lipinski_Compliant,Status
Compound_1,424.7240713084175,4.585293712157961,14,7,2,False,Fail
Compound_2,770.4285838459497,3.288770930752963,11,1,2,False,Fail
Compound_3,639.1963650868431,1.476220930290622,13,5,2,False,Fail
Compound_4,559.195090518222,5.510360157655589,7,6,3,False,Fail
Compound_5,293.61118426546193,4.477849380431034,2,6,1,False,Fail
Compound_6,293.5967122017216,0.3009355147591304,7,5,0,True,Pass
Compound_7,234.85016730091968,6.28741747595074,14,7,3,False,Fail
Compound_8,719.7056874649611,5.580297943385352,4,2,2,False,Fail
Compound_9,560.6690070459254,6.598399306335392,0,4,2,False,Fail
Compound_10,624.8435466776273,4.80575606710688,6,0,1,False,Fail
Compound_11,212.35069657748147,3.907321567486319,4,0,0,True,Pass
Compound_12,781.9459112971966,2.345944290324951,5,3,1,False,Fail
Compound_13,699.465584480253,6.461827866832106,5,5,2,False,Fail
Compound_14,327.40346640696566,5.928511116003267,7,0,1,False,Fail
Compound_15,309.0949803242604,-0.6382506391504847,8,7,1,False,Fail
Compound_16,310.0427059120603,-0.789064204021984,1,2,0,True,Pass
Compound_17,382.54534577572264,2.011706935024397,8,5,0,True,Pass
Compound_18,514.8538589793427,5.484426646254663,11,2,3,False,Fail
Compound_19,459.1670111852695,6.898209034519556,14,7,3,False,Fail
Compound_20,374.73748411882514,0.20333512882822546,10,0,0,True,Pass
Compound_21,567.1117368334277,3.753045722817081,9,0,1,False,Fail
Compound_22,283.6963163912251,2.047126853048172,8,3,0,True,Pass
Compound_23,375.2867891211309,6.759315182516826,12,0,2,False,Fail
Compound_24,419.81710597621503,5.7369513850856695,9,5,1,False,Fail
Compound_25,473.64199053022156,5.706629637689103,14,7,3,False,Fail
Compound_26,671.1055768358082,2.7495452783597623,9,6,2,False,Fail
Compound_27,319.80426929501584,2.3185560187013214,6,7,1,False,Fail
Compound_28,508.54066304816695,1.1872565754456499,0,5,1,False,Fail
Compound_29,555.4487413172255,-0.5489960267925831,6,5,1,False,Fail
Compound_30,227.87024763199864,5.917779010040426,9,3,1,False,Fail
Compound_31,564.526911140863,5.5032080730406205,4,3,2,False,Fail
Compound_32,302.31447421237493,6.997741386289045,5,0,1,False,Fail
Compound_33,239.0309557911677,6.973094696591243,9,1,1,False,Fail
Compound_34,769.3313223519999,3.4434536448210196,6,7,2,False,Fail
Compound_35,779.3792198447356,5.151899321444084,13,7,4,False,Fail
Compound_36,685.0384088698767,6.558125839059424,14,1,3,False,Fail
Compound_37,382.7682615040224,5.797179125419292,4,3,1,False,Fail
Compound_38,258.6032684038303,0.9787848139455813,6,0,0,True,Pass
Compound_39,610.5398159072942,2.604353082480748,8,1,1,False,Fail
Compound_40,464.0914962437608,0.03327532121195986,2,0,0,True,Pass
Compound_41,273.2229409068673,6.632408218069779,7,0,1,False,Fail
Compound_42,497.1061460667621,3.8493970756070404,1,0,0,True,Pass
Compound_43,220.63311266913104,0.8291424440277018,10,4,0,True,Pass
Compound_44,745.5922412472693,4.373605475246854,6,5,1,False,Fail
Compound_45,355.26798896001014,3.9450259236631666,12,0,1,False,Fail
Compound_46,597.5133706123892,1.865301744262724,1,4,1,False,Fail
Compound_47,387.0266456536466,-0.09153926240296784,14,3,1,False,Fail
Compound_48,512.0408127066864,4.372585564742397,13,1,2,False,Fail
Compound_49,528.0261676059678,3.1624616072303464,3,5,1,False,Fail
Compound_50,310.9126733153162,5.178547133885115,6,6,2,False,Fail
Compound_51,781.7507766587352,3.161308008895947,2,1,1,False,Fail
Compound_52,665.0796940166688,5.817452002548321,1,5,2,False,Fail
Compound_53,763.6993649385134,3.4152547101958843,10,6,2,False,Fail
Compound_54,736.8964102565893,3.48750377228309,9,1,1,False,Fail
Compound_55,558.7399872866511,6.01322882126676,6,5,2,False,Fail
Compound_56,753.12454101387,2.2278629296991763,0,1,1,False,Fail
Compound_57,253.0955012311517,0.07212182760512587,13,1,1,False,Fail
Compound_58,317.5897174514871,-0.7697385894932882,14,6,2,False,Fail
Compound_59,227.13637334632284,5.041098045388952,7,1,1,False,Fail
Compound_60,395.1981984579586,3.9624764108277173,2,1,0,True,Pass
Compound_61,433.2063738136892,4.6326381447937885,11,6,2,False,Fail
Compound_62,362.80941906433753,0.7037132920712859,11,3,1,False,Fail
Compound_63,697.2425054911575,0.09097180469415811,12,0,2,False,Fail
Compound_64,414.05199601615357,-0.8836426746569446,1,7,1,False,Fail
Compound_65,368.56070581242847,1.8047004704527758,2,2,0,True,Pass
Compound_66,525.6176498949491,3.7193414948370647,4,4,1,False,Fail
Compound_67,284.5545349848576,2.1379523607978586,10,2,0,True,Pass
Compound_68,681.3181884524238,2.4997993761898325,7,2,1,False,Fail
Compound_69,244.7303862078625,6.233269555949987,9,5,1,False,Fail
Compound_70,792.1321619603103,1.7860437361864028,6,0,1,False,Fail
Compound_71,663.3468615779944,3.1119159132784864,6,5,1,False,Fail
Compound_72,319.22940892050343,5.269224101929145,11,0,2,False,Fail
Compound_73,203.31327027416143,2.1723422585701613,6,6,1,False,Fail
Compound_74,689.2768570729005,3.976693601822988,14,6,3,False,Fail
Compound_75,624.1144063085703,5.898909669973961,7,7,3,False,Fail
Compound_76,637.4043008245924,6.596164989261137,0,0,2,False,Fail
Compound_77,662.7622080115675,0.1765878474323035,3,1,1,False,Fail
Compound_78,244.42679104045422,6.412701001291955,12,3,2,False,Fail
Compound_79,415.07943712656356,2.9369303446363055,5,7,1,False,Fail
Compound_80,269.5214357150778,1.0659551063916668,8,7,1,False,Fail
Compound_81,717.8620555253561,2.6730860499060904,12,1,2,False,Fail
Compound_82,573.9788760965348,6.840260602283816,1,3,2,False,Fail
Compound_83,398.5388149115895,2.940944751942957,0,5,0,True,Pass
Compound_84,238.13501017161417,1.6300128823000657,12,3,1,False,Fail
Compound_85,386.58939302939734,4.067206834533806,9,5,0,True,Pass
Compound_86,395.1099932160482,0.9211649502255446,11,6,2,False,Fail
Compound_87,637.7637070028384,-0.39309337513068865,13,2,2,False,Fail
Compound_88,582.5344828131279,0.031037775285193803,1,6,2,False,Fail
Compound_89,732.3276455457959,0.02436671166217952,6,6,2,False,Fail
Compound_90,483.32895509716957,0.2152215480983548,2,2,0,True,Pass
Compound_91,271.75654756298104,0.11061738119528108,9,3,0,True,Pass
Compound_92,627.946872333797,4.126997958425717,1,7,2,False,Fail
Compound_93,656.4710291701385,0.4550406751931586,13,3,2,False,Fail
